iter	Passed	Remaining
186	583	2535
187	584	2526
188	586	2517
189	588	2509
190	590	2500
191	593	2495
192	594	2487
193	596	2478
194	598	2470
195	600	2461
196	602	2453
197	603	2445
198	605	2437
199	607	2431
200	609	2424
201	611	2416
202	613	2408
203	615	2400
204	617	2393
205	618	2385
206	620	2377
207	626	2383
208	627	2375
209	629	2368
210	631	2360
211	633	2353
212	634	2346
213	636	2338
214	640	2336
215	642	2330
216	644	2324
217	646	2317
218	647	2310
219	649	2303
220	651	2296
221	653	2290
222	656	2286
223	657	2279
224	659	2272
225	661	2265
226	663	2258
227	664	2251
228	666	2244
229	668	2237
230	670	2232
231	672	2226
232	674	2219
233	676	2213
234	678	2207
235	679	2200
236	681	2194
237	683	2187
238	686	2184
239	687	2178
240	689	2171
241	691	2165
242	693	2159
243	695	2153
244	696	2147
245	698	2141
246	701	2137
247	703	2132
248	706	2132
249	708	2126
250	710	2120
251	712	2114
252	714	2108
253	716	2104
254	718	2099
255	720	2094
256	722	2088
257	724	2082
258	726	2077
259	727	2071
260	729	2066
261	732	2062
262	734	2057
263	736	2052
264	740	2053
265	742	2047
266	743	2041
267	745	2036
268	748	2034
269	751	2030
270	752	2025
271	754	2020
272	756	2015
273	758	2010
274	764	2015
275	766	2010
276	768	2004
277	769	1999
278	771	1994
279	773	1989
280	775	1984
281	778	1981
282	780	1976
283	781	1971
284	783	1965
285	785	1960
286	787	1955
287	788	1950
288	790	1945
289	793	1942
290	795	1937
291	797	1932
292	812	1960
293	814	1955
294	816	1950
295	817	1945
296	819	1940
297	821	1935
298	823	1930
299	825	1927
300	827	1922
301	829	1917
302	831	1913
303	833	1908
304	835	1903
305	837	1899
306	840	1897
307	849	1909
308	851	1905
309	856	1907
310	858	1902
311	860	1897
312	862	1892
313	863	1887
314	866	1884
315	868	1880
316	872	1879
317	874	1875
318	876	1870
319	877	1865
320	879	1860
321	881	1855
322	883	1851
323	903	1884
324	905	1881
325	907	1876
326	909	1872
327	911	1868
328	913	1863
329	915	1858
330	917	1853
331	919	1849
332	921	1845
333	923	1840
334	925	1836
335	927	1831
336	929	1827
337	931	1824
338	952	1856
339	954	1853
340	959	1853
341	961	1849
342	963	1844
343	969	1848
344	972	1846
345	974	1841
346	976	1837
347	978	1832
348	982	1831
349	984	1827
350	985	1823
351	988	1819
352	1001	1836
353	1004	1832
354	1006	1828
355	1009	1826
356	1011	1821
357	1017	1824
358	1020	1821
359	1022	1817
360	1024	1812
361	1026	1808
362	1028	1804
363	1031	1801
364	1032	1797
365	1034	1792
366	1037	1790
367	1040	1787
368	1043	1784
369	1045	1780
370	1047	1776
371	1049	1771
372	1051	1766
373	1052	1762
374	1055	1758
375	1057	1754
376	1061	1753
377	1064	1752
378	1067	1748
379	1069	1744
380	1090	1771
381	1099	1778
382	1101	1774
383	1103	1769
384	1104	1765
385	1106	1760
386	1109	1756
387	1111	1753
388	1113	1748
389	1115	1744
390	1116	1739
391	1119	1736
392	1122	1733
393	1124	1729
394	1126	1725
395	1154	1760
396	1155	1755
397	1158	1751
398	1160	1748
399	1162	1743
400	1164	1739
401	1166	1734
402	1168	1730
403	1169	1725
404	1171	1721
405	1174	1718
406	1176	1714
407	1178	1709
408	1180	1705
409	1182	1701
410	1210	1734
411	1211	1729
412	1213	1725
413	1215	1720
414	1217	1715
415	1219	1711
416	1223	1710
417	1225	1706
418	1227	1702
419	1229	1697
420	1231	1693
421	1233	1688
422	1234	1684
423	1238	1682
424	1240	1678
425	1257	1694
426	1259	1690
427	1261	1685
428	1263	1681
429	1265	1677
430	1268	1674
431	1270	1670
432	1272	1666
433	1274	1661
434	1276	1657
435	1278	1653
436	1279	1649
437	1282	1645
438	1286	1643
439	1288	1639
440	1295	1642
441	1297	1638
